Column1,Column2
"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #6",
"Angular Position, Ch 1&2 ( deg )","Light Intensity, Ch A ( % max )"
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
0.0,0.3
-0.3,0.3
-0.3,0.3
-0.3,0.3
-0.3,0.3
-0.5,0.3
-0.5,0.3
-0.5,0.3
-0.8,0.3
-0.8,0.3
-1.0,0.3
-1.3,0.3
-2.2,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.4
-2.5,0.5
-2.5,0.8
-2.5,1.1
-2.5,1.4
-2.5,1.6
-2.5,1.9
-2.5,2.1
-2.5,2.4
-2.5,2.7
-2.5,3.2
-2.5,3.6
-2.5,4.0
-2.5,4.4
-2.5,4.7
-2.5,4.7
-2.5,4.4
-2.5,4.1
-2.5,3.7
-2.5,3.4
-2.5,3.1
-2.5,2.8
-2.5,2.5
-2.5,2.2
-2.5,2.0
-2.5,1.8
-2.5,1.6
-2.5,1.4
-2.5,1.3
-2.5,1.2
-2.5,1.2
-2.5,1.2
-2.5,1.2
-2.5,1.2
-2.5,1.2
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.2
-2.5,1.2
-2.5,1.1
-2.5,1.2
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,0.9
-2.5,0.9
-2.5,0.8
-2.5,0.7
-2.5,0.7
-2.5,0.6
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.6
-2.5,0.6
-2.5,0.6
-2.5,0.7
-2.5,0.8
-2.5,0.9
-2.5,0.9
-2.5,1.0
-2.5,1.0
-2.5,1.1
-2.5,1.2
-2.5,1.2
-2.5,1.3
-2.5,1.4
-2.5,1.6
-2.5,1.7
-2.5,2.0
-2.5,2.3
-2.5,3.1
-2.5,5.0
-2.5,16.2
-2.5,38.3
-2.5,82.0
-2.5,100.4
-2.5,100.4
-2.5,100.4
-2.5,43.8
-2.5,16.1
-2.5,9.0
-2.5,4.3
-2.5,3.6
-2.5,3.0
-2.5,2.5
-2.5,2.2
-2.5,2.0
-2.5,1.8
-2.5,1.5
-2.5,1.3
-2.5,1.2
-2.5,1.0
-2.5,0.9
-2.5,0.9
-2.5,0.8
-2.5,0.7
-2.5,0.6
-2.5,0.6
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.5
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.2
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.3
-2.5,0.4
-2.5,0.4
-2.5,0.4
-2.5,0.5
-2.5,0.5
-2.5,0.6
-2.5,0.6
-2.5,0.6
-2.5,0.7
-2.5,0.7
-2.5,0.7
-2.5,0.8
-2.5,0.8
-2.5,0.8
-2.5,0.8
-2.5,0.8
-2.5,0.8
-2.5,0.9
-2.5,0.9
-2.5,0.9
-2.5,0.9
-2.5,0.9
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,1.0
-2.5,1.1
-2.5,1.1
-2.5,1.1
-2.7,1.1
-3.0,1.2
-3.0,1.2
-3.2,1.2
-3.2,1.2
-4.0,1.3
-6.2,1.3
-9.5,1.3
-13.5,1.3
-17.0,1.4
-21.0,1.4
-25.5,1.4
-29.8,1.5
-34.5,1.6
-39.5,1.7
-44.5,2.0
-49.3,2.3
-54.2,2.5
-59.0,2.9
-63.5,3.3
-67.2,3.6
-69.5,4.0
-70.0,4.4
-70.0,4.9
-70.0,5.3
-70.3,5.6
-70.5,5.9
-70.5,6.1
-70.5,6.2
-70.5,6.2
-70.5,6.1
-70.5,6.1
-70.5,6.1
-70.5,6.1
-70.5,6.0
-70.5,5.9
-70.5,5.9
-70.5,5.7
-70.5,5.6
-70.5,5.5
-70.5,5.4
-70.5,5.3
-70.5,5.2
-70.5,5.0
-70.5,4.7
-70.5,4.5
-70.5,4.1
-70.5,3.7
-70.5,3.4
-70.5,2.9
-70.5,2.4
-70.5,2.0
-70.5,1.6
-70.5,1.2
-70.5,0.9
-70.5,0.7
-70.5,0.5
-70.5,0.4
