Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #11
Angular Position, Ch 1&2 ( deg )	Light Intensity, Ch A ( % max )
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
-0.3	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.1
0.0	0.2
0.0	0.1
-0.3	0.1
-0.5	0.1
-2.7	0.1
-6.7	0.1
-12.7	0.1
-20.8	0.1
-30.3	0.1
-43.5	0.1
-55.0	0.1
-63.5	0.1
-73.7	0.1
-81.8	0.1
-93.5	0.1
-107.0	0.1
-114.5	0.1
-131.0	0.1
-153.5	0.1
-176.2	0.1
-195.2	0.1
-208.8	0.1
-221.8	0.1
-236.0	0.1
-254.0	0.1
-275.5	0.1
-292.5	0.1
-304.8	0.1
-316.0	0.1
-328.3	0.1
-340.3	0.2
-350.5	0.2
-359.8	0.1
-369.3	0.2
-378.0	0.2
-387.3	0.2
-396.5	0.2
-406.3	0.2
-417.0	0.4
-430.7	1.0
-446.3	0.3
-455.2	0.2
-463.3	0.2
-471.7	0.3
-480.5	0.4
-489.5	1.2
-498.2	1.3
-505.7	0.5
-512.0	0.3
-516.5	0.2
-519.5	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.3
-520.2	0.3
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.5
-520.2	0.5
-520.2	1.0
-520.2	1.2
-520.2	0.6
-520.2	0.6
-520.2	0.6
-520.2	0.6
-520.2	0.5
-520.2	0.6
-520.2	0.7
-520.2	0.8
-520.2	0.7
-520.2	0.6
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.4
-520.2	0.3
-520.2	0.3
-520.2	0.3
-520.2	0.3
-520.2	0.4
-520.2	0.3
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.3
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.2
-520.2	0.3
-520.2	0.2
-520.2	0.3
-520.2	0.3
-520.2	0.3
-520.2	0.3
