"Latest: Time (s)","Latest: Pressure (kPa)"
0,101.570135553
0.0025,101.570135553
0.005,101.630067777
0.0075,101.630067777
0.01,101.570135553
0.0125,101.630067777
0.015,101.630067777
0.0175,101.570135553
0.02,101.570135553
0.0225,101.630067777
0.025,101.630067777
0.0275,101.570135553
0.03,101.570135553
0.0325,101.630067777
0.035,101.630067777
0.0375,101.630067777
0.04,101.630067777
0.0425,101.630067777
0.045,101.570135553
0.0475,101.570135553
0.05,101.630067777
0.0525,101.630067777
0.055,101.630067777
0.0575,101.630067777
0.06,101.630067777
0.0625,101.570135553
0.065,101.630067777
0.0675,101.570135553
0.07,101.570135553
0.0725,101.630067777
0.075,101.630067777
0.0775,101.570135553
0.08,101.630067777
0.0825,101.570135553
0.085,101.570135553
0.0875,101.630067777
0.09,101.570135553
0.0925,101.570135553
0.095,101.630067777
0.0975,101.630067777
0.1,101.570135553
0.1025,101.630067777
0.105,101.630067777
0.1075,101.570135553
0.11,101.630067777
0.1125,101.570135553
0.115,101.630067777
0.1175,101.630067777
0.12,101.570135553
0.1225,101.630067777
0.125,101.570135553
0.1275,101.570135553
0.13,101.570135553
0.1325,101.630067777
0.135,101.630067777
0.1375,101.570135553
0.14,101.570135553
0.1425,101.630067777
0.145,101.630067777
0.1475,101.630067777
0.15,101.630067777
0.1525,101.630067777
0.155,101.570135553
0.1575,101.570135553
0.16,101.570135553
0.1625,101.630067777
0.165,101.570135553
0.1675,101.630067777
0.17,101.630067777
0.1725,101.570135553
0.175,101.570135553
0.1775,101.630067777
0.18,101.630067777
0.1825,101.570135553
0.185,101.630067777
0.1875,101.630067777
0.19,101.630067777
0.1925,101.570135553
0.195,101.630067777
0.1975,101.630067777
0.2,101.630067777
0.2025,101.630067777
0.205,101.630067777
0.2075,101.630067777
0.21,101.570135553
0.2125,101.630067777
0.215,101.570135553
0.2175,101.630067777
0.22,101.570135553
0.2225,101.630067777
0.225,101.630067777
0.2275,101.630067777
0.23,101.570135553
0.2325,101.630067777
0.235,101.630067777
0.2375,101.570135553
0.24,101.630067777
0.2425,101.630067777
0.245,101.630067777
0.2475,101.630067777
0.25,101.630067777
0.2525,101.630067777
0.255,101.630067777
0.2575,101.570135553
0.26,101.630067777
0.2625,101.630067777
0.265,101.570135553
0.2675,101.630067777
0.27,101.570135553
0.2725,101.630067777
0.275,101.570135553
0.2775,101.570135553
0.28,101.630067777
0.2825,101.570135553
0.285,101.570135553
0.2875,101.630067777
0.29,101.570135553
0.2925,101.630067777
0.295,101.570135553
0.2975,101.630067777
0.3,101.630067777
0.3025,101.570135553
0.305,101.570135553
0.3075,101.630067777
0.31,101.570135553
0.3125,101.570135553
0.315,101.630067777
0.3175,101.630067777
0.32,101.570135553
0.3225,101.570135553
0.325,101.570135553
0.3275,101.630067777
0.33,101.570135553
0.3325,101.630067777
0.335,101.630067777
0.3375,101.630067777
0.34,101.630067777
0.3425,101.630067777
0.345,101.570135553
0.3475,101.570135553
0.35,101.630067777
0.3525,101.630067777
0.355,101.630067777
0.3575,101.570135553
0.36,101.630067777
0.3625,101.630067777
0.365,101.630067777
0.3675,101.570135553
0.37,101.630067777
0.3725,101.630067777
0.375,101.570135553
0.3775,101.570135553
0.38,101.630067777
0.3825,101.630067777
0.385,101.570135553
0.3875,101.570135553
0.39,101.630067777
0.3925,101.630067777
0.395,101.630067777
0.3975,101.570135553
0.4,101.630067777
0.4025,101.570135553
0.405,101.570135553
0.4075,101.630067777
0.41,101.630067777
0.4125,101.630067777
0.415,101.570135553
0.4175,101.630067777
0.42,101.570135553
0.4225,101.630067777
0.425,101.630067777
0.4275,101.570135553
0.43,101.570135553
0.4325,101.570135553
0.435,101.630067777
0.4375,101.630067777
0.44,101.570135553
0.4425,101.630067777
0.445,101.630067777
0.4475,101.570135553
0.45,101.630067777
0.4525,101.630067777
0.455,101.570135553
0.4575,101.570135553
0.46,101.570135553
0.4625,101.630067777
0.465,101.630067777
0.4675,101.570135553
0.47,101.570135553
0.4725,101.630067777
0.475,101.570135553
0.4775,101.630067777
0.48,101.630067777
0.4825,101.570135553
0.485,101.630067777
0.4875,101.570135553
0.49,101.570135553
0.4925,101.630067777
0.495,101.570135553
0.4975,101.630067777
0.5,101.630067777
0.5025,101.630067777
0.505,101.630067777
0.5075,101.630067777
0.51,101.570135553
0.5125,101.570135553
0.515,101.630067777
0.5175,101.570135553
0.52,101.630067777
0.5225,101.570135553
0.525,101.570135553
0.5275,101.630067777
0.53,101.570135553
0.5325,101.570135553
0.535,101.570135553
0.5375,101.570135553
0.54,101.570135553
0.5425,101.630067777
0.545,101.630067777
0.5475,101.630067777
0.55,101.630067777
0.5525,101.570135553
0.555,101.630067777
0.5575,101.630067777
0.56,101.630067777
0.5625,101.630067777
0.565,101.630067777
0.5675,101.570135553
0.57,101.570135553
0.5725,101.630067777
0.575,101.630067777
0.5775,101.570135553
0.58,101.570135553
0.5825,101.630067777
0.585,101.570135553
0.5875,101.570135553
0.59,101.630067777
0.5925,101.570135553
0.595,101.630067777
0.5975,101.570135553
0.6,101.630067777
0.6025,101.630067777
0.605,101.630067777
0.6075,101.630067777
0.61,101.630067777
0.6125,101.570135553
0.615,101.630067777
0.6175,101.570135553
0.62,101.570135553
0.6225,101.570135553
0.625,101.630067777
0.6275,101.630067777
0.63,101.630067777
0.6325,101.630067777
0.635,101.630067777
0.6375,101.630067777
0.64,101.630067777
0.6425,101.570135553
0.645,101.570135553
0.6475,101.570135553
0.65,101.630067777
0.6525,101.570135553
0.655,101.630067777
0.6575,101.570135553
0.66,101.570135553
0.6625,101.570135553
0.665,101.630067777
0.6675,101.570135553
0.67,101.570135553
0.6725,101.630067777
0.675,101.570135553
0.6775,101.570135553
0.68,101.630067777
0.6825,101.630067777
0.685,101.630067777
0.6875,101.570135553
0.69,101.630067777
0.6925,101.630067777
0.695,101.570135553
0.6975,101.630067777
0.7,101.630067777
0.7025,101.570135553
0.705,101.570135553
0.7075,101.630067777
0.71,101.630067777
0.7125,101.570135553
0.715,101.570135553
0.7175,101.570135553
0.72,101.630067777
0.7225,101.570135553
0.725,101.630067777
0.7275,101.630067777
0.73,101.630067777
0.7325,101.570135553
0.735,101.630067777
0.7375,101.570135553
0.74,101.630067777
0.7425,101.570135553
0.745,101.630067777
0.7475,101.630067777
0.75,101.630067777
0.7525,101.630067777
0.755,101.630067777
0.7575,101.570135553
0.76,101.630067777
0.7625,101.630067777
0.765,101.570135553
0.7675,101.570135553
0.77,101.570135553
0.7725,101.630067777
0.775,101.630067777
0.7775,101.630067777
0.78,101.630067777
0.7825,101.630067777
0.785,101.630067777
0.7875,101.630067777
0.79,101.570135553
0.7925,101.630067777
0.795,101.630067777
0.7975,101.630067777
0.8,101.630067777
0.8025,101.630067777
0.805,101.570135553
0.8075,101.630067777
0.81,101.630067777
0.8125,101.570135553
0.815,101.630067777
0.8175,101.630067777
0.82,101.630067777
0.8225,101.630067777
0.825,101.630067777
0.8275,101.630067777
0.83,101.630067777
0.8325,101.630067777
0.835,101.570135553
0.8375,101.630067777
0.84,101.630067777
0.8425,101.630067777
0.845,101.570135553
0.8475,101.630067777
0.85,101.630067777
0.8525,101.570135553
0.855,101.570135553
0.8575,101.630067777
0.86,101.630067777
0.8625,101.630067777
0.865,101.630067777
0.8675,101.630067777
0.87,101.630067777
0.8725,101.630067777
0.875,101.630067777
0.8775,101.630067777
0.88,101.570135553
0.8825,101.570135553
0.885,101.630067777
0.8875,101.630067777
0.89,101.630067777
0.8925,101.630067777
0.895,101.570135553
0.8975,101.630067777
0.9,101.630067777
0.9025,101.630067777
0.905,101.630067777
0.9075,101.630067777
0.91,101.630067777
0.9125,101.630067777
0.915,101.630067777
0.9175,101.630067777
0.92,101.69
0.9225,101.630067777
0.925,101.630067777
0.9275,101.630067777
0.93,101.630067777
0.9325,101.630067777
0.935,101.630067777
0.9375,101.630067777
0.94,101.69
0.9425,101.630067777
0.945,101.630067777
0.9475,101.69
0.95,101.630067777
0.9525,101.630067777
0.955,101.69
0.9575,101.69
0.96,101.69
0.9625,101.69
0.965,101.69
0.9675,101.69
0.97,101.69
0.9725,101.69
0.975,101.69
0.9775,101.69
0.98,101.69
0.9825,101.753677987
0.985,101.813610211
0.9875,101.813610211
0.99,101.813610211
0.9925,101.873542434
0.995,101.937220421
0.9975,101.937220421
1,101.997152645
1.0025,102.120762855
1.005,102.120762855
1.0075,102.244373066
1.01,102.30430529
1.0125,102.4279155
1.015,102.487847724
1.0175,102.611457934
1.02,102.795000368
1.0225,102.914864815
1.025,103.098407249
1.0275,103.285695447
1.03,103.589102328
1.0325,103.836322749
1.035,104.079797407
1.0375,104.446882275
1.04,104.997509577
1.0425,105.488204656
1.045,106.038831958
1.0475,106.713069471
1.05,107.327374761
1.0525,108.061544497
1.055,108.919324444
1.0575,109.777104391
1.06,110.758494548
1.0625,111.799816929
1.065,112.964749521
1.0675,114.125936349
1.07,115.414479151
1.0725,116.639343966
1.075,118.107683439
1.0775,119.516090688
1.08,120.988175925
1.0825,122.520193384
1.085,124.052210844
1.0875,125.644160527
1.09,127.359720421
1.0925,129.258822749
1.095,131.09424709
1.0975,132.873484971
1.1,134.708909312
1.1025,136.855232061
1.105,138.874198836
1.1075,141.020521585
1.11,143.163098571
1.1125,145.429285767
1.115,147.575608516
1.1175,149.841795712
1.12,152.167915132
1.1225,154.497780315
1.125,156.763967511
1.1275,159.090086931
1.13,161.543562325
1.1325,163.869681745
1.135,166.135868941
1.1375,168.525666347
1.14,170.915463754
1.1425,173.241583174
1.145,175.631380581
1.1475,178.081110211
1.15,180.347297407
1.1525,182.67716259
1.155,184.943349786
1.1575,187.27321497
1.16,189.599334389
1.1625,192.049064019
1.165,194.438861426
1.1675,196.888591056
1.17,199.401998674
1.1725,201.975338515
1.175,204.548678356
1.1775,207.301814867
1.18,209.998764918
1.1825,212.69571497
1.185,215.696071902
1.1875,218.5128864
1.19,221.453311109
1.1925,224.210193384
1.195,226.109295712
1.1975,227.457770738
1.2,228.315550685
1.2025,228.806245764
1.205,229.113398409
1.2075,229.356873066
1.21,229.480483277
1.2125,229.600347724
1.215,229.600347724
1.2175,229.600347724
1.22,229.664025711
1.2225,229.664025711
1.225,229.600347724
1.2275,229.600347724
1.23,229.5404155
1.2325,229.5404155
1.235,229.41680529
1.2375,229.296940843
1.24,229.233262855
1.2425,229.113398409
1.245,228.929855975
1.2475,228.866177987
1.25,228.746313541
1.2525,228.559025343
1.255,228.439160896
1.2575,228.315550685
1.26,228.191940474
1.2625,228.132008251
1.265,227.948465817
1.2675,227.888533594
1.27,227.70499116
1.2725,227.581380949
1.275,227.397838515
1.2775,227.274228304
1.28,227.150618093
1.2825,226.907143436
1.285,226.847211213
1.2875,226.599990791
1.29,226.476380581
1.2925,226.292838146
1.295,226.1729737
1.2975,225.989431266
1.3,225.865821055
1.3025,225.682278621
1.305,225.498736187
1.3075,225.375125976
1.31,225.191583542
1.3125,225.131651319
1.315,224.948108885
1.3175,224.760820687
1.32,224.64095624
1.3225,224.393735818
