,Latest: Time (s),Latest: Pressure (kPa)
0,0.0,101.50645756600001
1,0.0025,101.50645756600001
2,0.005,101.50645756600001
3,0.0075,101.50645756600001
4,0.01,101.50645756600001
5,0.0125,101.50645756600001
6,0.015,101.50645756600001
7,0.0175,101.57013555299999
8,0.02,101.50645756600001
9,0.0225,101.50645756600001
10,0.025,101.57013555299999
11,0.0275,101.50645756600001
12,0.03,101.50645756600001
13,0.0325,101.50645756600001
14,0.035,101.50645756600001
15,0.0375,101.50645756600001
16,0.04,101.50645756600001
17,0.0425,101.50645756600001
18,0.045,101.50645756600001
19,0.0475,101.50645756600001
20,0.05,101.50645756600001
21,0.0525,101.50645756600001
22,0.055,101.50645756600001
23,0.0575,101.50645756600001
24,0.06,101.57013555299999
25,0.0625,101.50645756600001
26,0.065,101.50645756600001
27,0.0675,101.50645756600001
28,0.07,101.57013555299999
29,0.0725,101.50645756600001
30,0.075,101.50645756600001
31,0.0775,101.50645756600001
32,0.08,101.50645756600001
33,0.0825,101.50645756600001
34,0.085,101.50645756600001
35,0.0875,101.50645756600001
36,0.09,101.50645756600001
37,0.0925,101.57013555299999
38,0.095,101.50645756600001
39,0.0975,101.50645756600001
40,0.1,101.50645756600001
41,0.1025,101.50645756600001
42,0.105,101.50645756600001
43,0.1075,101.50645756600001
44,0.11,101.50645756600001
45,0.1125,101.50645756600001
46,0.115,101.50645756600001
47,0.1175,101.50645756600001
48,0.12,101.50645756600001
49,0.1225,101.57013555299999
50,0.125,101.50645756600001
51,0.1275,101.50645756600001
52,0.13,101.50645756600001
53,0.1325,101.50645756600001
54,0.135,101.50645756600001
55,0.1375,101.50645756600001
56,0.14,101.50645756600001
57,0.1425,101.50645756600001
58,0.145,101.50645756600001
59,0.1475,101.50645756600001
60,0.15,101.50645756600001
61,0.1525,101.57013555299999
62,0.155,101.57013555299999
63,0.1575,101.50645756600001
64,0.16,101.50645756600001
65,0.1625,101.57013555299999
66,0.165,101.50645756600001
67,0.1675,101.50645756600001
68,0.17,101.50645756600001
69,0.1725,101.50645756600001
70,0.175,101.50645756600001
71,0.1775,101.50645756600001
72,0.18,101.50645756600001
73,0.1825,101.50645756600001
