,Unnamed: 0,Latest: Time (s),Latest: Pressure (kPa)
0,0,0.0,101.997152645
1,1,0.0025,101.997152645
2,2,0.005,102.05708486799999
3,3,0.0075,102.05708486799999
4,4,0.01,101.997152645
5,5,0.0125,101.997152645
6,6,0.015,101.997152645
7,7,0.0175,101.997152645
8,8,0.02,101.997152645
9,9,0.0225,101.997152645
10,10,0.025,101.997152645
11,11,0.0275,101.997152645
12,12,0.03,101.997152645
13,13,0.0325,101.997152645
14,14,0.035,101.997152645
15,15,0.0375,101.997152645
16,16,0.04,101.997152645
17,17,0.0425,102.05708486799999
18,18,0.045,101.997152645
19,19,0.0475,101.997152645
20,20,0.05,101.997152645
21,21,0.0525,102.05708486799999
22,22,0.055,102.05708486799999
23,23,0.0575,101.997152645
24,24,0.06,102.05708486799999
25,25,0.0625,102.05708486799999
26,26,0.065,101.997152645
27,27,0.0675,101.997152645
28,28,0.07,101.997152645
29,29,0.0725,101.997152645
30,30,0.075,101.997152645
31,31,0.0775,101.997152645
32,32,0.08,102.05708486799999
33,33,0.0825,102.05708486799999
34,34,0.085,101.997152645
35,35,0.0875,102.05708486799999
36,36,0.09,101.997152645
37,37,0.0925,101.997152645
38,38,0.095,101.997152645
39,39,0.0975,101.997152645
40,40,0.1,101.997152645
41,41,0.1025,101.997152645
42,42,0.105,101.997152645
43,43,0.1075,102.05708486799999
44,44,0.11,101.997152645
45,45,0.1125,101.997152645
46,46,0.115,101.997152645
47,47,0.1175,101.997152645
48,48,0.12,101.997152645
49,49,0.1225,101.997152645
50,50,0.125,101.997152645
51,51,0.1275,101.997152645
52,52,0.13,101.997152645
53,53,0.1325,101.997152645
54,54,0.135,101.997152645
55,55,0.1375,101.997152645
56,56,0.14,101.997152645
57,57,0.1425,102.05708486799999
58,58,0.145,101.997152645
59,59,0.1475,102.05708486799999
60,60,0.15,102.05708486799999
61,61,0.1525,101.997152645
62,62,0.155,101.997152645
63,63,0.1575,101.997152645
64,64,0.16,101.997152645
65,65,0.1625,101.997152645
66,66,0.165,101.997152645
67,67,0.1675,101.997152645
68,68,0.17,102.05708486799999
69,69,0.1725,101.997152645
70,70,0.175,101.997152645
71,71,0.1775,102.05708486799999
72,72,0.18,101.997152645
73,73,0.1825,101.997152645
74,74,0.185,101.997152645
75,75,0.1875,101.997152645
76,76,0.19,101.997152645
77,77,0.1925,101.997152645
78,78,0.195,101.997152645
79,79,0.1975,102.05708486799999
80,80,0.2,101.997152645
81,81,0.2025,102.05708486799999
82,82,0.205,101.997152645
83,83,0.2075,101.997152645
84,84,0.21,101.997152645
85,85,0.2125,101.997152645
86,86,0.215,101.997152645
87,87,0.2175,101.997152645
88,88,0.22,101.997152645
89,89,0.2225,102.05708486799999
90,90,0.225,101.997152645
91,91,0.2275,101.997152645
92,92,0.23,101.997152645
