,type,trial,inital Pressure,final Pressure,actual middle Pressure,theoretical middle Pressure,actual middle Temp,theoretical middle Temp,corrected theoretical middle Temp,theoretical inital n,theoretical final n,delta Q,Q,dQ/dt,delta U,theoretical Work,actual Work
0,adiabatic compression,1,100.41179550653,192.45248279821996,38.662453718457066,264.98831701155297,339.4571252292864,390.7722677753925,407.7696943263194,8.156295870497624e-10,7.816309741279625e-10,-0.0009000341879856282,-0.0,-33800.68310578454,0.0007040839619766954,,-0.0016041181499623237
1,adiabatic compression,2,102.30190800101998,196.04991450540004,264.98831701155297,269.9763537890134,345.16723252806077,390.77226777539255,407.8221476215643,8.309826804346744e-10,7.962416666415537e-10,-0.0008224985358905019,669.5036637979063,-38257.35221702306,0.0008118149087838338,,-0.0016343134446743356
2,adiabatic compression,3,101.94980618804001,197.48570328950996,269.9763537890134,269.0471515337643,344.8652906802446,390.7722677753925,403.4637069900575,8.281226115067999e-10,8.020730124867642e-10,-0.0008159655039806051,-0.0,-38021.69028702018,0.0008127229749615013,,-0.0016286884789421063
3,adiabatic expansion,1,101.18372254302,50.544215153940016,269.0471515337643,38.341461129911764,267.75680502795535,224.43973058602717,224.65130142075694,4.1094991588191515e-10,4.1056289378951956e-10,0.0003700504074135362,0.0,44321.08483441112,-0.00024246959966637573,,0.0006125200070799119
4,adiabatic expansion,2,101.87799989308998,51.270294040098015,38.341461129911764,38.60454305022527,272.46802201093243,224.4397305860272,222.98946472557336,4.1376967000282786e-10,4.16460721022816e-10,0.0004115804813416568,0.0,36966.9900317152,-0.0002051423634743294,,0.0006167228448159862
5,adiabatic expansion,3,101.51473570431,50.50788124355,38.60454305022527,38.46689166298682,266.17041308246166,224.4397305860272,225.54836365162973,4.1229430040710485e-10,4.1026775901797394e-10,0.00035869092428679423,0.0,46797.40396884029,-0.00025583288517161466,,0.0006145238094584089
6,isothermal compression,1,101.68940067777002,193.87770852731995,38.46689166298682,268.3599372721441,214.71042421978717,296.15,296.15,8.260073775570874e-10,1.0899232690433499e-09,,,,,-0.0014097144274525374,-0.002604181074536027
7,isothermal compression,2,101.87294311176997,192.68794152048005,268.3599372721441,268.844308659395,213.10635289995835,296.15,296.15,8.274982645479465e-10,1.0918905062218565e-09,,,,,-0.001412258865865341,-0.0026088814437958624
8,isothermal compression,3,102.17234202526997,194.49594686932002,268.844308659395,269.6344271290751,215.04086220600968,296.15,296.15,8.29930235920924e-10,1.0950995116872737e-09,,,,,-0.0014164094161204456,-0.0026165488012498024
9,isothermal expansion,1,102.11948929526,52.13035890303503,269.6344271290751,38.69605042210171,398.5029556449065,296.15,296.15,4.147504606578263e-10,3.1432207209344325e-10,,,,,-0.0007078383608523098,0.000751017630968788
10,isothermal expansion,2,102.00973841183003,51.524631413006,38.69605042210171,38.65446261405072,394.2539161298771,296.15,296.15,4.143047158761562e-10,3.139842607184367e-10,,,,,-0.0007070776256981755,0.0007502104897556936
11,isothermal expansion,3,102.03082706279,52.17969061441799,38.65446261405072,38.662453718457066,397.9024045685167,296.15,296.15,4.143903658119388e-10,3.140491712317299e-10,,,,,-0.0007072238010877225,0.0007503655820773806
